ACTIVATION_DATE,CIRCLE_ID,EMIRATE_NAME,SUBS_KEY,MSISDN,ACQUISITION_REGION,ACQUISITION_POS,PRE_POST_IND,CUSTOMER_TYPE,ACQUISITION_SALES_CHANNEL_KEY,ACQUISITION_CIRCLE_HEAD,ACQUISITION_ZONAL_BRANCH_MANAGER,ACQUISITION_AREA_SALES_MANAGER,ACQUISITION_SALES_PARTNER_CHANNEL_KEY,ACQUISITION_DISTRIBUTOR,ACQUISITION_RETAILER,MIGRATION_TYPE,DISCONNECTION_DATE,ACTIVATION_PRODUCT_ID,NETWORK_TYPE,ACTIVATION_HANDSET,FIRST_USE_DATE,FIRST_USAGES_NW_TOWER_ID,FIRST_USAGES_ZONE,CURRENT_STATUS_OF_SUBSCRIBER,RECORD_INSERT_DATE,RECORD_UPDATE_DATE
2010-01-14 00:00:00.000,3,Dubai,5.01137E+16,501137415,Dubai,Dubai Festival City,1,Retail,CDA,C-Mr. Circle Head Sales,D-Mr. ZBM Sales,A-Mr. ASM Sales,CA,C-Mr. Distributor,A-Mr. Retailer,New Connection,31-12-9999,0G_10minlocal_0intl_0Groamingdata_0fSMS_1day,4G,40738194,2010-01-14 00:00:00.000,NWDubai869,Dubai,Active,2010-01-14 00:00:00.000,06-10-2020
2010-01-14 00:00:00.000,1,Abu Dhabi,5.61906E+16,561906470,Abu Dhabi,World Trade Center Mall,1,Retail,ADA,A-Mr. Circle Head Sales,D-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,4G,22521688,2010-01-14 00:00:00.000,NWAbu Dhabi487,Abu Dhabi,Active,2010-01-14 00:00:00.000,06-10-2020
2010-01-14 00:00:00.000,1,Abu Dhabi,5.01251E+16,501251000,Abu Dhabi,World Trade Center Mall,1,Retail,ADA,A-Mr. Circle Head Sales,D-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,4G,31690790,2010-01-14 00:00:00.000,NWAbu Dhabi446,Abu Dhabi,Active,2010-01-14 00:00:00.000,06-10-2020
2010-01-14 00:00:00.000,7,Um Al Qwain,5.06181E+16,506181197,Um Al Qwain,Galleria Mall,2,Retail,GBA,G-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,GA,G-Mr. Distributor,A-Mr. Retailer,Prepaid to Postpaid,31-12-9999,0G_30minlocal_0intl_0Groamingdata_0fSMS_1day,4G,31068542,2010-01-14 00:00:00.000,NWUm Al Qwain313,Um Al Qwain,Active,2010-01-14 00:00:00.000,06-10-2020
2010-01-14 00:00:00.000,7,Um Al Qwain,5.02371E+16,502371316,Um Al Qwain,Safeer Mall,2,Enterprise,GAB,G-Mr. Circle Head Sales,A-Mr. ZBM Sales,B-Mr. ASM Sales,GB,G-Mr. Distributor,B-Mr. Retailer,New Connection,31-12-9999,no package,3G,90542669,2010-01-14 00:00:00.000,NWUm Al Qwain222,Um Al Qwain,Active,2010-01-14 00:00:00.000,06-10-2020
2010-01-14 00:00:00.000,7,Um Al Qwain,5.02112E+16,502111831,Um Al Qwain,Safeer Mall,1,Retail,GAA,G-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,GA,G-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_5minlocal_0intl_0Groamingdata_0fSMS_1day,4G,38715997,2010-01-14 00:00:00.000,NWUm Al Qwain899,Um Al Qwain,Active,2010-01-14 00:00:00.000,06-10-2020
2010-01-18 00:00:00.000,7,Um Al Qwain,5.65937E+16,565937345,Um Al Qwain,Galleria Mall,1,Enterprise,GBB,G-Mr. Circle Head Sales,B-Mr. ZBM Sales,B-Mr. ASM Sales,GB,G-Mr. Distributor,B-Mr. Retailer,New Connection,31-12-9999,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,3G,46872398,2010-01-18 00:00:00.000,NWUm Al Qwain722,Um Al Qwain,Active,2010-01-18 00:00:00.000,06-10-2020
2010-01-18 00:00:00.000,2,Ajman,5.06717E+16,506717341,Ajman,Galleria Mall,2,Retail,BBA,B-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,BA,B-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_5minlocal_0intl_0Groamingdata_0fSMS_1day,4G,69356835,2010-01-18 00:00:00.000,NWAjman127,Ajman,Active,2010-01-18 00:00:00.000,06-10-2020
2010-01-18 00:00:00.000,7,Um Al Qwain,5.0407E+16,504069966,Um Al Qwain,Safeer Mall,1,Retail,GAA,G-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,GA,G-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,3G,39451015,2010-01-18 00:00:00.000,NWUm Al Qwain867,Um Al Qwain,Active,2010-01-18 00:00:00.000,06-10-2020
2010-01-18 00:00:00.000,6,Sharjah,5.07137E+16,507136891,Sharjah,Sahara Centre,1,Retail,FAA,F-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,FA,F-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,24-05-2018,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,3G,94762736,2010-01-18 00:00:00.000,NWSharjah400,Sharjah,Inactive,2010-01-18 00:00:00.000,06-10-2020
2010-01-18 00:00:00.000,4,Fujairah,5.07342E+16,507342051,Fujairah,Galleria Mall,1,Enterprise,DBB,D-Mr. Circle Head Sales,B-Mr. ZBM Sales,B-Mr. ASM Sales,DB,D-Mr. Distributor,B-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_5minlocal_0intl_0Groamingdata_0fSMS_1day,3G,82050314,2010-01-18 00:00:00.000,NWFujairah639,Fujairah,Active,2010-01-18 00:00:00.000,06-10-2020
2010-01-18 00:00:00.000,1,Abu Dhabi,5.68742E+16,568741729,Abu Dhabi,Abu Dhabi Mall,2,Retail,AAA,A-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_10minlocal_0intl_0Groamingdata_0fSMS_1day,4G,52021821,2010-01-18 00:00:00.000,NWAbu Dhabi303,Abu Dhabi,Active,2010-01-18 00:00:00.000,06-10-2020
2010-01-18 00:00:00.000,1,Abu Dhabi,5.0784E+16,507840224,Abu Dhabi,World Trade Center Mall,1,Retail,ADA,A-Mr. Circle Head Sales,D-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_5minlocal_0intl_0Groamingdata_0fSMS_1day,3G,80458186,2010-01-18 00:00:00.000,NWAbu Dhabi722,Abu Dhabi,Active,2010-01-18 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,5,Ras Al Khaimah,5.01708E+16,501708390,Ras Al Khaimah,Al Naeem Mall,1,Enterprise,ECB,E-Mr. Circle Head Sales,C-Mr. ZBM Sales,B-Mr. ASM Sales,EB,E-Mr. Distributor,B-Mr. Retailer,Postpaid to Prepaid,13-09-2017,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,4G,79448404,2010-01-23 00:00:00.000,NWRas Al Khaimah744,Ras Al Khaimah,Inactive,2010-01-23 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,7,Um Al Qwain,5.04767E+16,504767402,Um Al Qwain,Safeer Mall,2,Retail,GAA,G-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,GA,G-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,4G,48581959,2010-01-23 00:00:00.000,NWUm Al Qwain830,Um Al Qwain,Active,2010-01-23 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,1,Abu Dhabi,5.67622E+16,567621618,Abu Dhabi,Abu Dhabi Mall,1,Retail,AAA,A-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,no package,4G,94986170,2010-01-23 00:00:00.000,NWAbu Dhabi315,Abu Dhabi,Active,2010-01-23 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,4,Fujairah,5.0355E+16,503549855,Fujairah,Safeer Mall,2,Retail,DAA,D-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,DA,D-Mr. Distributor,A-Mr. Retailer,MNP,31-12-9999,75G_Uminlocal_Uintl_0Groamingdata_1000fSMS_12m,3G,61612478,2010-01-23 00:00:00.000,NWFujairah861,Fujairah,Active,2010-01-23 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,3,Dubai,5.67041E+16,567041446,Dubai,Mirdif City Centre,1,Enterprise,CEB,C-Mr. Circle Head Sales,E-Mr. ZBM Sales,B-Mr. ASM Sales,CB,C-Mr. Distributor,B-Mr. Retailer,Postpaid to Prepaid,31-12-9999,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,4G,86408022,2010-01-23 00:00:00.000,NWDubai829,Dubai,Active,2010-01-23 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,1,Abu Dhabi,5.66155E+16,566155002,Abu Dhabi,Mushrif Mall,1,Retail,ACA,A-Mr. Circle Head Sales,C-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,150G_Uminlocal_Uintl_6Groamingdata_0fSMS_12m,4G,16946398,2010-01-23 00:00:00.000,NWAbu Dhabi609,Abu Dhabi,Active,2010-01-23 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,1,Abu Dhabi,5.03867E+16,503866830,Abu Dhabi,Marina Mall,2,Retail,ABA,A-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_5minlocal_0intl_0Groamingdata_0fSMS_1day,3G,81842731,2010-01-23 00:00:00.000,NWAbu Dhabi131,Abu Dhabi,Active,2010-01-23 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,1,Abu Dhabi,5.6722E+16,567220309,Abu Dhabi,Marina Mall,1,Retail,ABA,A-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,3G,55812611,2010-01-23 00:00:00.000,NWAbu Dhabi667,Abu Dhabi,Active,2010-01-23 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,5,Ras Al Khaimah,5.06736E+16,506736022,Ras Al Khaimah,Manar Mall,2,Retail,EBA,E-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,EA,E-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,3G,80734249,2010-01-23 00:00:00.000,NWRas Al Khaimah601,Ras Al Khaimah,Active,2010-01-23 00:00:00.000,06-10-2020
2010-01-23 00:00:00.000,1,Abu Dhabi,5.06328E+16,506328162,Abu Dhabi,World Trade Center Mall,1,Enterprise,ADB,A-Mr. Circle Head Sales,D-Mr. ZBM Sales,B-Mr. ASM Sales,AB,A-Mr. Distributor,B-Mr. Retailer,Prepaid to Postpaid,01-04-2016,75G_Uminlocal_Uintl_0Groamingdata_1000fSMS_12m,4G,60763269,2010-01-23 00:00:00.000,NWAbu Dhabi697,Abu Dhabi,Inactive,2010-01-23 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,4,Fujairah,5.05904E+16,505903791,Fujairah,Galleria Mall,1,Retail,DBA,D-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,DA,D-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,4G,47033465,2010-01-24 00:00:00.000,NWFujairah539,Fujairah,Active,2010-01-24 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,5,Ras Al Khaimah,5.61189E+16,561189464,Ras Al Khaimah,Al Naeem Mall,2,Retail,ECA,E-Mr. Circle Head Sales,C-Mr. ZBM Sales,A-Mr. ASM Sales,EA,E-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_5minlocal_0intl_0Groamingdata_0fSMS_1day,4G,69055897,2010-01-24 00:00:00.000,NWRas Al Khaimah870,Ras Al Khaimah,Active,2010-01-24 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,1,Abu Dhabi,5.6245E+16,562450068,Abu Dhabi,World Trade Center Mall,1,Retail,ADA,A-Mr. Circle Head Sales,D-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Prepaid to Postpaid,07-07-2020,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,4G,44567804,2010-01-24 00:00:00.000,NWAbu Dhabi217,Abu Dhabi,Inactive,2010-01-24 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,2,Ajman,5.09408E+16,509407883,Ajman,Galleria Mall,1,Enterprise,BBB,B-Mr. Circle Head Sales,B-Mr. ZBM Sales,B-Mr. ASM Sales,BB,B-Mr. Distributor,B-Mr. Retailer,New Connection,22-06-2017,150G_Uminlocal_Uintl_6Groamingdata_0fSMS_12m,4G,86349496,2010-01-24 00:00:00.000,NWAjman991,Ajman,Inactive,2010-01-24 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,7,Um Al Qwain,5.65441E+16,565440559,Um Al Qwain,Galleria Mall,2,Retail,GBA,G-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,GA,G-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,150G_Uminlocal_Uintl_6Groamingdata_0fSMS_12m,4G,45078456,2010-01-24 00:00:00.000,NWUm Al Qwain481,Um Al Qwain,Active,2010-01-24 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,4,Fujairah,5.04868E+16,504868106,Fujairah,Safeer Mall,2,Retail,DAA,D-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,DA,D-Mr. Distributor,A-Mr. Retailer,New Connection,31-12-9999,75G_Uminlocal_Uintl_0Groamingdata_1000fSMS_12m,4G,20501700,2010-01-24 00:00:00.000,NWFujairah204,Fujairah,Active,2010-01-24 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,7,Um Al Qwain,5.09644E+16,509644110,Um Al Qwain,Galleria Mall,1,Retail,GBA,G-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,GA,G-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,150G_Uminlocal_Uintl_6Groamingdata_0fSMS_12m,4G,22868312,2010-01-24 00:00:00.000,NWUm Al Qwain266,Um Al Qwain,Active,2010-01-24 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,4,Fujairah,5.63176E+16,563176423,Fujairah,Safeer Mall,2,Enterprise,DAB,D-Mr. Circle Head Sales,A-Mr. ZBM Sales,B-Mr. ASM Sales,DB,D-Mr. Distributor,B-Mr. Retailer,MNP,11-04-2018,0G_30minlocal_0intl_0Groamingdata_0fSMS_1day,4G,92901643,2010-01-24 00:00:00.000,NWFujairah149,Fujairah,Inactive,2010-01-24 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,2,Ajman,5.62146E+16,562145981,Ajman,Galleria Mall,1,Retail,BBA,B-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,BA,B-Mr. Distributor,A-Mr. Retailer,MNP,31-12-9999,0G_5minlocal_0intl_0Groamingdata_0fSMS_1day,3G,15782672,2010-01-24 00:00:00.000,NWAjman103,Ajman,Active,2010-01-24 00:00:00.000,06-10-2020
2010-01-24 00:00:00.000,3,Dubai,5.02037E+16,502036786,Dubai,Burjuman Mall,2,Retail,CBA,C-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,CA,C-Mr. Distributor,A-Mr. Retailer,MNP,31-12-9999,0G_30minlocal_0intl_0Groamingdata_0fSMS_1day,4G,46289204,2010-01-24 00:00:00.000,NWDubai849,Dubai,Active,2010-01-24 00:00:00.000,06-10-2020
2010-01-27 00:00:00.000,7,Um Al Qwain,5.01353E+16,501352979,Um Al Qwain,Galleria Mall,1,Retail,GBA,G-Mr. Circle Head Sales,B-Mr. ZBM Sales,A-Mr. ASM Sales,GA,G-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,4G,69500929,2010-01-27 00:00:00.000,NWUm Al Qwain156,Um Al Qwain,Active,2010-01-27 00:00:00.000,06-10-2020
2010-01-27 00:00:00.000,1,Abu Dhabi,5.6115E+16,561150362,Abu Dhabi,Mushrif Mall,1,Retail,ACA,A-Mr. Circle Head Sales,C-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,MNP,23-05-2015,0G_10minlocal_0intl_0Groamingdata_0fSMS_1day,4G,67212541,2010-01-27 00:00:00.000,NWAbu Dhabi650,Abu Dhabi,Inactive,2010-01-27 00:00:00.000,06-10-2020
2010-01-27 00:00:00.000,1,Abu Dhabi,5.0669E+16,506689655,Abu Dhabi,Mushrif Mall,2,Enterprise,ACB,A-Mr. Circle Head Sales,C-Mr. ZBM Sales,B-Mr. ASM Sales,AB,A-Mr. Distributor,B-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_30minlocal_0intl_0Groamingdata_0fSMS_1day,4G,95543740,2010-01-27 00:00:00.000,NWAbu Dhabi903,Abu Dhabi,Active,2010-01-27 00:00:00.000,06-10-2020
2010-01-27 00:00:00.000,2,Ajman,5.01314E+16,501314369,Ajman,Safeer Mall,1,Retail,BAA,B-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,BA,B-Mr. Distributor,A-Mr. Retailer,Prepaid to Postpaid,31-12-9999,135G_Uminlocal_Uintl_3Groamingdata_0fSMS_12m,4G,35156107,2010-01-27 00:00:00.000,NWAjman672,Ajman,Active,2010-01-27 00:00:00.000,06-10-2020
2010-01-27 00:00:00.000,4,Fujairah,5.04546E+16,504546021,Fujairah,Safeer Mall,2,Retail,DAA,D-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,DA,D-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,0G_30minlocal_0intl_0Groamingdata_0fSMS_1day,4G,85471400,2010-01-27 00:00:00.000,NWFujairah304,Fujairah,Active,2010-01-27 00:00:00.000,06-10-2020
2010-01-27 00:00:00.000,6,Sharjah,5.05467E+16,505467145,Sharjah,Safeer Mall,1,Retail,FAA,F-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,FA,F-Mr. Distributor,A-Mr. Retailer,Prepaid to Postpaid,24-04-2018,0G_30minlocal_0intl_0Groamingdata_0fSMS_1day,4G,10150546,2010-01-27 00:00:00.000,NWSharjah695,Sharjah,Inactive,2010-01-27 00:00:00.000,06-10-2020
2010-01-27 00:00:00.000,5,Ras Al Khaimah,5.0975E+16,509749594,Ras Al Khaimah,RAK Mall,1,Retail,EAA,E-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,EA,E-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,26-10-2017,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,3G,20390877,2010-01-27 00:00:00.000,NWRas Al Khaimah339,Ras Al Khaimah,Inactive,2010-01-27 00:00:00.000,06-10-2020
2010-01-27 00:00:00.000,7,Um Al Qwain,5.04065E+16,504064780,Um Al Qwain,Safeer Mall,2,Retail,GAA,G-Mr. Circle Head Sales,A-Mr. ZBM Sales,A-Mr. ASM Sales,GA,G-Mr. Distributor,A-Mr. Retailer,Postpaid to Prepaid,31-12-9999,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,4G,99094044,2010-01-27 00:00:00.000,NWUm Al Qwain500,Um Al Qwain,Active,2010-01-27 00:00:00.000,06-10-2020
2010-01-31 00:00:00.000,3,Dubai,5.02003E+16,502002798,Dubai,Burjuman Mall,2,Enterprise,CBB,C-Mr. Circle Head Sales,B-Mr. ZBM Sales,B-Mr. ASM Sales,CB,C-Mr. Distributor,B-Mr. Retailer,Postpaid to Prepaid,31-12-9999,150G_Uminlocal_Uintl_6Groamingdata_0fSMS_12m,4G,30137971,2010-01-31 00:00:00.000,NWDubai668,Dubai,Active,2010-01-31 00:00:00.000,06-10-2020
2010-01-31 00:00:00.000,1,Abu Dhabi,5.08594E+16,508593928,Abu Dhabi,Mushrif Mall,1,Retail,ACA,A-Mr. Circle Head Sales,C-Mr. ZBM Sales,A-Mr. ASM Sales,AA,A-Mr. Distributor,A-Mr. Retailer,Prepaid to Postpaid,31-12-9999,75G_Uminlocal_Uintl_0Groamingdata_1000fSMS_12m,4G,23762458,2010-01-31 00:00:00.000,NWAbu Dhabi439,Abu Dhabi,Active,2010-01-31 00:00:00.000,06-10-2020
2010-01-31 00:00:00.000,3,Dubai,5.06481E+16,506480885,Dubai,Dubai Mall,2,Enterprise,CAB,C-Mr. Circle Head Sales,A-Mr. ZBM Sales,B-Mr. ASM Sales,CB,C-Mr. Distributor,B-Mr. Retailer,Postpaid to Prepaid,31-12-9999,54G_Uminlocal_400intl_0Groamingdata_500fSMS_12m,4G,33622304,2010-01-31 00:00:00.000,NWDubai222,Dubai,Active,2010-01-31 00:00:00.000,06-10-2020
